TIC_ID|GDR2_ID|GDR2_RA|GDR2_DEC|TLC|mas_parrallax|g_mag|bp-rp|probability|age_myr|age_err_lower|age_err_upper|Distance|absolute_mag|cadences|tic_id_corrected|ecl_lat|ecl_lon|gal_lat|gal_lon
TIC_113150902|4218991356056730112|305.496|-4.5904|-1|11.98|13.7|2.7|0.53|18.2|6.2|3.8|83.47245409|9.092284090270372|No TESS data found|212471490|14.441171444485988|306.69914999506096|-22.205917591490177|39.363617108654935
TIC_48910953|5523964907785816448|131.1626|-43.8919|-1|14.13|14.8|3.4|1.0|16.4|2.1|5.3|70.77140835|10.55071080927428|120,600,1800|430592416|-58.41881609520961|154.91627360053727|-0.6896999962204446|263.54585738694277
TIC_1447227632|4745459616746179200|38.5785|-51.4796|-1|23.17|13.8|3.2|0.21|41.1|23.7|9.7|43.15925766|10.624630168988531|120,600,1800|166787846|-60.728013715186215|5.2888067201048266|-58.8840659780681|271.3989023197151
TIC_71056912|6140491142248460160|193.5692|-39.9952|22|10.69|14.4|2.8|0.15|27.4|21.4|8.2|93.5453695|9.544888526141609|600,1800|145016981|-31.210924152381413|209.45130603236484|22.87329476630268|303.522040586554
TIC_153182427|5177677603263978880|41.2847|-7.1368|-1|14.55|14.0|3.1|1.0|16.2|5.3|5.9|68.72852234|9.81431496650757|20,120,600,1800|36762220|-21.98768111869093|36.47217218965366|-56.43687127389968|181.6182069085736
TIC_278516698|5269333339234476544|121.4284|-71.1907|22|10.7|14.4|2.9|0.59|20.6|6.0|5.2|93.45794393|9.546918888315304|120,600,1800|306779230|-77.93781404809296|216.43361286797958|-19.89242526661748|283.9646529240743
TIC_451040885|2897494412305874432|91.1937|-28.8483|-1|10.88|14.8|3.0|0.27|22.7|4.9|4.9|91.91176471|9.983144476713523|600,1800|37200223|-52.280499354826766|91.70527297164679|-22.187181994552734|235.05107094436073
TIC_154927164|1140667383093262720|95.8984|78.0356|-1|15.94|13.4|2.7|0.23|24.1|14.1|6.0|62.73525721|9.412441585458115|120,1800|138473191|54.63951861590501|92.10574651493066|25.069546961100986|136.06286493837572
TIC_411892310|5294168901724584064|119.8989|-58.9533|22|10.01|15.6|3.4|1.0|16.5|3.6|4.7|99.9000999|10.602170387398765|600,1800|341411891|-74.55670415603501|164.88738267413146|-14.842476961987241|272.2602227409877
TIC_289840926|6801191355870240768|317.6315|-27.1831|-1|24.77|13.6|3.3|0.88|25.3|7.0|6.3|40.37141704|10.569630032753729|120,600,1800|289840928|-10.409664646469333|311.9260957975546|-41.286169391766656|19.445162538278552
TIC_454119335|3283658804538169856|64.6729|4.3659|-1|10.68|15.1|3.3|0.98|18.3|3.5|4.3|93.6329588|10.242856263497432|120,600,1800|454120432|-16.777488649622885|63.54028572610851|-30.9241984086577|188.93814295911753
TIC_280827988|6648089927985562880|276.5822|-57.6143|22|11.89|16.7|3.9|0.92|30.9|2.5|7.5|84.10428932|12.07590927306132|No TESS data found|119433946|-34.27233399251087|274.2569619466826|-19.447275601453704|337.30763092312174
TIC_334790937|1698904657877982848|222.126|73.2246|-1|10.59|15.3|3.1|0.32|30.1|10.1|8.0|94.42870633|10.424479800462075|1800|229539219|72.8324020946357|136.483318632608|41.350207095715106|112.09817000304679
TIC_411677560|4560881816655212928|257.3217|19.5959|-1|15.48|12.5|2.4|0.13|20.8|26.9|2.2|64.59948320000001|8.448854781873344|120,1800|150598692|42.323076816111104|253.75658414275736|30.956483599469642|40.52372935008666
TIC_110798661|6835588645136005504|320.0328|-16.7635|-1|20.68|13.2|2.9|0.26|24.8|10.5|6.6|48.35589942|9.777752672097364|No TESS data found|288253049|-1.144199508324419|317.2179676545282|-40.27213523517503|33.46642911013918
TIC_118320699|6647518766053564544|274.0517|-58.7355|22|32.95|11.5|2.8|0.86|15.1|3.0|4.6|30.34901366|9.08927709443951|120,600,1800|118807628|-35.332447631355414|272.5723962654237|-18.60492710011576|335.6938433769257
TIC_185096412|2824121183885101440|350.6966|18.2014|-1|10.21|15.7|3.3|0.4|29.6|9.1|6.9|97.94319295|10.745128710392208|No TESS data found|243125736|20.344924036546498|358.9785052975947|-39.833613936756834|95.11307987200969
TIC_424188634|225906041297461120|63.692|38.2675|18|12.58|13.7|2.8|0.74|14.5|2.5|4.0|79.49125596|9.198403205596628|120,1800|288354068|16.754356099808604|68.68747448195356|-9.144193123650226|160.99636931696077
