TIC_ID,GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance,absolute_mag
TIC_41838506,5253033285548628864,155.3144,-62.4345,22,11.95,13.6,3.0,1.0,6.7,2.4,2.8,83.68200837,8.986839526374094
TIC_20029109,1635291175702931712,253.22,65.7872,-1,10.3,15.7,3.3,0.49,31.2,7.0,3.7,97.08737864,10.764186123543231
TIC_146626586,5846840105074976384,209.0416,-70.3259,22,10.56,15.0,3.0,0.14,29.6,23.5,10.9,94.6969697,10.11831959091948
TIC_288808945,3399483867670133760,85.0235,19.6156,-1,10.29,16.4,3.5,0.22,47.6,11.7,7.2,97.18172983,11.462076873919216
TIC_185096412,2824121183885101440,350.6966,18.2014,-1,10.21,15.7,3.3,0.4,29.6,9.1,6.9,97.94319295,10.745128710392208
TIC_60220586,5231643386314617216,166.0989,-69.8227,22,10.19,13.8,2.8,1.0,11.2,3.5,3.6,98.13542689,8.840870920012373
TIC_143744459,4109200271003716096,259.2745,-25.8143,22,13.69,16.1,3.8,0.88,32.2,8.4,6.6,73.04601899,11.782017240728363
TIC_160629127,5814316070074131968,256.8966,-68.166,-1,10.85,14.7,2.9,0.56,24.5,5.3,6.9,92.16589862,9.87714869086411
TIC_334790937,1698904657877982848,222.126,73.2246,-1,10.59,15.3,3.1,0.32,30.1,10.1,8.0,94.42870633,10.424479800462075
TIC_153182427,5177677603263978880,41.2847,-7.1368,-1,14.55,14.0,3.1,1.0,16.2,5.3,5.9,68.72852234,9.81431496650757
TIC_53237111,2932903703242234112,105.0291,-19.0236,-1,33.6,12.3,3.2,1.0,18.7,5.6,4.9,29.76190476,9.931696387088197
TIC_201425210,1551753340241397888,203.9461,47.0906,-1,10.08,14.4,2.8,0.13,28.2,22.1,8.1,99.20634921,9.41730266046762
TIC_78748254,4535439976585774592,277.8021,23.2325,-1,11.93,15.8,3.4,0.29,37.6,16.7,7.9,83.82229673,11.183202218375811
TIC_187633030,5848805310334669056,221.3296,-66.7017,22,10.98,13.2,2.5,0.25,18.0,9.4,2.3,91.07468124,8.403011700537359
TIC_410799942,5398663566249861120,172.9798,-34.6076,22,20.25,10.4,2.4,1.0,2.6,1.1,1.1,49.38271605,6.932125137726294
