time,flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
1647.18176478727,0.9734928011894226,0.03066716529428959,20146,0.9734928,0.99079347,0.030667165,0,32,1309.836181640625,1718.9483642578125,-202.38,624.44,1.0203165,0.98978966
1647.2025982227433,1.0173299312591553,0.03066716529428959,20147,1.0173299,0.9885932,0.030667165,0,32,1309.8375244140625,1718.950927734375,-525.03,629.68,1.0102447,0.99445796
1647.223431657785,1.0687406063079834,0.03066716529428959,20148,1.0687406,0.9938223,0.030667165,0,32,1309.8367919921875,1718.949462890625,-111.03,533.24,1.0148714,0.99800545
1647.2442650924327,1.12838613986969,0.03066716529428959,20149,1.1283861,1.0072126,0.030667165,0,32,1309.837158203125,1718.9490966796875,-123.62,563.45,1.0261351,1.0077498
1647.265098526648,1.1661338806152344,0.03066716529428959,20150,1.1661339,1.0031275,0.030667165,0,32,1309.83642578125,1718.9503173828125,224.3,715.07,1.0180346,1.0020152
1647.2859319604663,1.2059872150421143,0.03066716529428959,20151,1.2059872,1.0045736,0.030667165,0,32,1309.8363037109375,1718.9488525390625,127.31,554.59,1.00895,1.0049098
1647.306765393852,1.2368420362472534,0.03066716529428959,20152,1.236842,1.0029936,0.030667165,0,32,1309.8363037109375,1718.9520263671875,120.44,756.68,0.9993757,1.0039402
1647.3275988268422,1.273210048675537,0.03066716529428959,20153,1.27321,1.0103121,0.030667165,0,32,1309.83740234375,1718.9498291015625,220.54,746.23,1.0009605,1.0117285
1647.3484322593984,1.308326005935669,0.03066716529428959,20154,1.308326,1.020805,0.030667165,0,32,1309.83642578125,1718.9510498046875,108.89,970.29,1.0039384,1.0191199
1647.3692656915562,1.3116326332092285,0.03066716529428959,20155,1.3116326,1.0108411,0.030667165,0,32,1309.8365478515625,1718.9498291015625,263.91,1092.14,0.9864828,1.0115473
1647.390099123281,1.3211063146591187,0.03066716529428959,20156,1.3211063,1.0099448,0.030667165,0,32,1309.8370361328125,1718.9505615234375,-143.01,964.79,0.98269135,1.0115615
1647.4109325546087,1.329933762550354,0.03066716529428959,20157,1.3299338,1.0125047,0.030667165,0,32,1309.836669921875,1718.9503173828125,265.91,1142.82,0.98011476,1.0141798
1647.4317659854994,1.3415868282318115,0.03066716529428959,20158,1.3415868,1.0209018,0.030667165,0,32,1309.8365478515625,1718.9505615234375,437.59,1367.94,0.99527943,1.0176957
1647.452599415994,1.3350566625595093,0.03066716529428959,20159,1.3350567,1.018888,0.030667165,0,32,1309.8367919921875,1718.9498291015625,201.99,913.53,0.99112594,1.0191404
1647.473432846052,1.32283616065979,0.03066716529428959,20160,1.3228362,1.0156195,0.030667165,0,32,1309.837158203125,1718.9517822265625,134.86,816.77,0.99151343,1.0166236
1647.494266275713,1.309281587600708,0.03066716529428959,20161,1.3092816,1.0140649,0.030667165,0,32,1309.8367919921875,1718.9503173828125,286.7,900.09,0.99683326,1.0122281
1647.5150997049338,1.2714396715164185,0.03066716529428959,20162,1.2714397,0.9959047,0.030667165,0,32,1309.8372802734375,1718.9500732421875,483.96,943.08,0.98280185,0.9970688
1647.5359331337597,1.2561326026916504,0.03066716529428959,20163,1.2561326,0.99724483,0.030667165,0,32,1309.8365478515625,1718.9501953125,233.5,931.56,0.9864802,0.9972019
1647.5567665621463,1.2404428720474243,0.03066716529428959,20164,1.2404429,1.0000352,0.030667165,0,32,1309.837158203125,1718.9517822265625,269.35,743.72,1.0001713,0.997796
1647.5775999901352,1.212860107421875,0.03066716529428959,20165,1.2128601,0.99453837,0.030667165,0,32,1309.8363037109375,1718.9503173828125,78.65,938.27,0.995693,0.99392354
1647.5984334176826,1.184085488319397,0.03066716529428959,20166,1.1840855,0.9888711,0.030667165,0,32,1309.8375244140625,1718.9512939453125,443.52,629.52,0.99790025,0.98815477
1647.6192668448336,1.1806693077087402,0.03066716529428959,20167,1.1806693,1.0052568,0.030667165,0,32,1309.836669921875,1718.949951171875,-17.65,638.35,1.013268,1.0047871
1647.6401002715443,1.1554893255233765,0.03066716529428959,20168,1.1554893,1.0037692,0.030667165,0,32,1309.837158203125,1718.9510498046875,244.76,527.88,1.0142938,1.0055853
1647.660933697853,1.118346095085144,0.03066716529428959,20169,1.1183461,0.99170154,0.030667165,0,32,1309.8372802734375,1718.9501953125,338.14,745.03,1.0030464,0.99499094
1647.681767123725,1.0924553871154785,0.03066716529428959,20170,1.0924554,0.98913175,0.030667165,0,32,1309.8385009765625,1718.951171875,-24.96,589.77,1.0014601,0.99566066
1647.7026005491953,1.0705357789993286,0.03066716529428959,20171,1.0705358,0.98968273,0.030667165,0,32,1309.837158203125,1718.95068359375,13.64,690.91,1.008732,0.98844993
1647.7234339742263,1.0452024936676025,0.03066716529428959,20172,1.0452025,0.9863459,0.030667165,0,32,1309.8375244140625,1718.9505615234375,-181.38,612.16,1.0068818,0.9867471
1647.744267398853,1.0242153406143188,0.03066716529428959,20173,1.0242153,0.9861319,0.030667165,0,32,1309.8370361328125,1718.9498291015625,-57.55,438.77,1.0048745,0.98458093
