DR2Name,RA_ICRS,DE_ICRS,Plx,Gmag,BPmag,RPmag,BP-RP
GaiaDR293531502805632,044.33108078515,+00.57942108534,1.3486,20.1005,20.9562,19.0283,1.9279
GaiaDR293565863300736,044.34418343079,+00.58394665250,0.6675,17.8773,18.5168,17.1122,1.4046
GaiaDR293561569069824,044.33212024745,+00.58592133222,-4.8286,20.7124,21.9593,19.7910,2.1683
GaiaDR293668942515712,044.34766538627,+00.59922799329,1.8244,15.0090,15.6929,14.2218,1.4712
GaiaDR293703302269696,044.36106018112,+00.59992658553,1.6392,14.8890,15.4478,14.2004,1.2474
GaiaDR293703302269440,044.36022593797,+00.60719963280,0.4530,16.3799,16.7695,15.8305,0.9390
GaiaDR293733367768448,044.31416732114,+00.58632388129,,20.9649,20.8161,19.5243,1.2918
GaiaDR293733366395904,044.32263570644,+00.59174743246,,21.0485,,,
GaiaDR293767726106112,044.33230924634,+00.60080315468,2.5341,19.3519,20.8066,18.1478,2.6588
GaiaDR293802085873408,044.30660931576,+00.60365541704,2.9988,19.4434,20.4869,18.4465,2.0405
GaiaDR294012539175552,044.37675442260,+00.60736144589,0.6908,18.0652,18.5526,17.4201,1.1326
GaiaDR294076963780864,044.37333866627,+00.61097350530,4.3590,19.9134,21.1234,18.7418,2.3816
GaiaDR294180042968576,044.41544319626,+00.62912183338,1.4725,18.7704,20.3129,17.5554,2.7575
GaiaDR294180043792384,044.41897772449,+00.63291185981,3.6242,20.8322,21.2903,19.5245,1.7659
GaiaDR294283122143872,044.36806739665,+00.62101924401,1.2824,12.6622,13.0129,12.1611,0.8519
GaiaDR294420561165952,044.39338069937,+00.64465234558,,20.5024,20.8606,19.3622,1.4985
GaiaDR294424856774400,044.38278142081,+00.64340760670,0.2942,16.5728,16.9371,16.0627,0.8744
GaiaDR294592359856768,044.49326451693,+00.61605804389,-0.9520,20.1436,21.6308,18.8970,2.7338
GaiaDR294626719566464,044.45289101828,+00.61481104991,1.7326,18.3023,19.3876,17.2867,2.1009
GaiaDR294695439072128,044.49424433476,+00.61952652882,1.2677,20.4206,21.0423,19.3812,1.6611
GaiaDR294764159348736,044.49325399080,+00.63399940055,,20.7766,21.5789,19.3611,2.2177
GaiaDR294764158553856,044.49049159968,+00.63410778999,1.7837,20.6005,21.4976,19.1365,2.3611
GaiaDR294764159348224,044.49012611337,+00.63764902708,,20.9860,20.2226,19.5472,0.6754
GaiaDR294832877997056,044.45245692156,+00.61786717992,0.3038,18.3342,19.0566,17.5000,1.5566
GaiaDR294867237736320,044.45330057440,+00.63555055159,0.8861,18.9803,19.5794,18.2520,1.3273
GaiaDR294901597474432,044.44258834091,+00.63437456103,-6.5968,20.5600,20.6317,19.0717,1.5601
GaiaDR294935957213312,044.44828814837,+00.64151140749,1.0676,18.1199,19.0675,17.1583,1.9092
GaiaDR295039036428928,044.45740257865,+00.65084520748,1.4738,18.6793,19.8558,17.6019,2.2539
GaiaDR295180771016320,044.51036145158,+00.65198616502,1.9158,17.9655,19.2267,16.8202,2.4065
GaiaDR295245195361664,044.53595606622,+00.66295635843,-0.4072,20.5424,21.7377,19.3540,2.3836
GaiaDR295421289184128,044.51062024973,+00.67492276790,0.3105,16.8492,17.2091,16.3433,0.8659
GaiaDR295554432913408,044.52409322702,+00.68338161255,0.1266,20.3788,21.0497,19.4169,1.6328
GaiaDR295520072768000,044.51124320685,+00.68500579513,,20.1083,19.7205,18.0681,1.6524
GaiaDR295588792272256,044.50835345639,+00.69106695379,,20.2593,20.9163,19.2708,1.6455
GaiaDR295623152484608,044.51711673113,+00.69193922787,3.2314,20.4255,21.6274,19.0553,2.5721
GaiaDR295726231196416,044.42646549786,+00.65075891522,2.7842,18.7442,20.2454,17.5864,2.6590
GaiaDR295696167093120,044.44110970432,+00.65557490555,1.0584,16.8760,17.5511,16.0821,1.4690
GaiaDR295730526831872,044.41425154144,+00.65712502132,1.3134,15.8060,16.3377,15.1321,1.2056
GaiaDR295829311242752,044.45515449300,+00.67085311454,,20.8951,21.8846,19.5195,2.3651
GaiaDR295898029890176,044.44978178233,+00.68736913936,0.5815,18.9176,19.5495,18.1117,1.4378
GaiaDR295936684865792,044.39907438752,+00.66015005240,,20.6316,20.3068,19.9901,0.3167
GaiaDR295966749393152,044.40856873796,+00.67083804183,0.7377,19.4411,20.5839,18.3217,2.2621
GaiaDR296001109104000,044.39773721566,+00.66661334403,0.5647,17.4563,18.0772,16.7027,1.3745
GaiaDR296035468843136,044.40038938620,+00.67798129512,-0.0011,19.3914,20.0735,18.6207,1.4528
GaiaDR296035468870144,044.40035444399,+00.68206317830,1.7060,19.6201,20.5622,18.4134,2.1489
GaiaDR296074124214400,044.42873086956,+00.68049829087,0.6091,14.9160,15.4116,14.2795,1.1320
GaiaDR296069828608896,044.42628585757,+00.68714470575,-0.3706,20.2162,21.2741,19.1607,2.1134
GaiaDR296177203428480,044.42932858465,+00.70116317101,0.5963,17.2637,17.9826,16.4461,1.5366
GaiaDR296207267535104,044.47158567577,+00.67841332558,,19.2996,19.9007,18.5981,1.3026
GaiaDR296520800811648,044.45573970650,+00.70595087167,0.5456,17.2197,17.5300,16.7671,0.7629
GaiaDR296555159808000,044.43360588069,+00.71074335161,1.3297,19.7934,20.8242,18.5598,2.2644
GaiaDR296619584397184,044.48222921652,+00.71884114511,0.3301,18.8003,19.8187,17.7858,2.0329
GaiaDR296619584423808,044.46939867811,+00.71986204171,,20.6340,21.5037,19.5248,1.9790
GaiaDR296688303900672,044.45548741967,+00.72374662398,,20.9873,20.9815,19.9744,1.0071
GaiaDR296688304694784,044.46189454004,+00.72763084773,,21.0007,,,
GaiaDR296757023738368,044.65417958720,+00.60352064308,1.5000,20.1175,20.7036,19.1251,1.5785
GaiaDR296825742994048,044.63999606664,+00.61305209269,0.6794,18.3667,19.1467,17.5055,1.6412
GaiaDR296894462472576,044.67203316038,+00.61932383279,0.7052,19.4391,20.1562,18.3611,1.7951
GaiaDR296894462473216,044.66891671651,+00.62084688984,,20.5515,19.7440,18.7435,1.0005
GaiaDR297066261169664,044.64334189975,+00.63196001348,2.9279,18.5940,19.9619,17.3986,2.5632
GaiaDR297066261389824,044.63428156410,+00.63186351512,0.1561,20.1197,20.6279,19.1610,1.4669
GaiaDR297169340605952,044.64494067149,+00.63870438337,1.5159,19.4097,20.4045,18.3077,2.0968
GaiaDR297341139082752,044.70403790194,+00.65197630782,0.5324,19.1475,20.3884,17.9729,2.4155
GaiaDR297375499040896,044.68561530281,+00.65856828746,0.3467,20.4662,21.3463,19.3744,1.9720
GaiaDR297409858562688,044.68461554865,+00.66183832467,0.5962,19.2745,20.3607,18.1675,2.1932
GaiaDR297478578260224,044.72467051958,+00.67681963049,1.2358,20.3422,21.0590,19.5858,1.4732
GaiaDR297551592960640,044.71162734481,+00.67474119830,5.5686,16.1608,17.5210,14.9990,2.5220
GaiaDR297547297738496,044.70966249497,+00.68360621891,2.0706,19.3808,20.5934,18.1558,2.4376
GaiaDR297547297524608,044.71179695043,+00.68747150032,,20.3068,19.7965,18.3459,1.4507
GaiaDR297581657255680,044.66669506226,+00.66756737447,1.6562,19.1699,20.4102,18.0064,2.4038
GaiaDR297620312437760,044.67501960243,+00.67535076046,0.7028,13.5530,14.0103,12.9447,1.0657
GaiaDR297650376732928,044.66502524044,+00.66836430901,0.1879,19.6205,20.4694,18.6540,1.8155
GaiaDR297719096431616,044.69447875120,+00.68702770791,1.2859,20.8575,21.4068,19.6417,1.7651
GaiaDR297963909822720,044.60769352766,+00.65686427513,1.0156,16.2955,16.8031,15.6455,1.1576
GaiaDR297998269560192,044.62570710038,+00.66981592268,0.5906,17.0081,17.4402,16.4181,1.0222
GaiaDR298062693593472,044.61149700427,+00.66874776519,0.6033,18.4789,19.0484,17.8046,1.2438
GaiaDR298066988739968,044.61436734081,+00.67940998495,,20.4931,20.8169,19.7644,1.0526
