GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance
4159554403173950000,275.7679 ,-7.7838,-1,4.17,13.1 ,2.6,1,     ,     ,     ,239.8081535
4159547874823880000,276.1681 ,-7.7197,-1,3.42,15.5 ,2.7,0.77,  8.6,  4.0 ,2.4 ,292.3976608
315978377440544000,  24.4231 ,32.4366,-1,5.38,16.6 ,3.2,0.46,23.1,  8.7 ,4.0 ,185.8736059
4159530282636550000,275.6499 ,-7.8636,-1,6.51,15.4 ,2.8,0.15,23.9 ,13.7 ,7.7 ,153.609831
4159530759360830000,275.5899 ,-7.8546,-1,3.04,14.6 ,2.4,1,  3.0,  0.6 ,0.3 ,328.9473684
4159534092259910000,276.0883 ,-7.9561,-1,3.7,13.5 ,2.1,1,  2.7,  1.2 ,0.6 ,270.2702703
4159569620224830000,275.4141 ,-7.9543,-1,3.56,15.0 ,2.4,0.16,12.6 ,41.0 ,3.3 ,280.8988764
3099296508730810000,103.5054 ,-6.9245,26,3.55,  8.3,-0.1,0.26,     ,     ,     ,281.6901408
3099314440211720000,103.4337 ,-6.7899,26,3.56,13.4 ,1.7,0.77,     ,     ,     ,280.8988764
5901994219673850000,228.4315,-50.7831,22,6.96,16.9 ,3.5,0.61,28.1,  4.6 ,5.3 ,143.6781609
4159550138257650000,275.8173 ,-7.8623,-1,4.34,12.2 ,1.6,0.95,     ,     ,     ,230.4147465
6163273194974250000,204.9288,-37.8769,-1,5.97,15.9 ,2.8,0.13,29.1 ,36.9,10.0 ,167.5041876
3099314203996040000,103.3364 ,-6.7532,26,3.18,16.9 ,2.8,0.19,23.5 ,12.1 ,7.3 ,314.4654088
3099304892506480000,103.1450 ,-6.9504,26,3.38,16.8 ,2.9,0.4,18.3,  5.8 ,4.3 ,295.8579882
5363825334175310000,159.4856,-50.66,-1,3.57,17.7 ,3.3,0.23,28.3,  9.8 ,5.8 ,280.1120448
6601737262235520000,337.1784,-32.4714,-1,4.67,16.3 ,2.9,0.16,26.7 ,33.6 ,8.9 ,214.1327623
3243694168209870000,  57.9925 ,-6.2773,27,4.87,15.8 ,2.8,0.37,19,  4.1 ,3.9 ,205.338809
444081102806611000,  56.1812 ,53.4915,-1,3.84,16.7 ,3.1,0.47,15.7,  4.8 ,4.0 ,260.4166667
444076563023116000,  56.5289 ,53.575,-1,3.46,13.1 ,1.7,0.22,  6.4,  2.6 ,2.1 ,289.017341
444062960864765000,  56.4715 ,53.3143,-1,3.85,16.8 ,2.9,0.14,28.7 ,21.3,12.1 ,259.7402597
4911021431956410000,  20.7442,-55.4115,-1,3.18,16.5 ,2.7,0.19,22.1 ,12.7 ,5.0 ,314.4654088
444060280804960000,  55.9980 ,53.4647,-1,4.3,16.9 ,3.3,0.63,16.5,  4.4 ,5.8 ,232.5581395
1364275097192920000,269.3677 ,49.8391,-1,3.62,17.7 ,3.2,0.15,35.9 ,24.4 ,9.8 ,276.2430939
853848504992048000,158.0621 ,56.4436,-1,3.47,16.2 ,2.6,0.15,22.9 ,27.5 ,4.7 ,288.184438
6445465087626040000,295.7912,-60.2829,-1,17.81,13.4 ,2.9,0.27,27.2 ,24.9 ,9.2 ,56.14823133
2069941419383370000,309.2679 ,44.485,-1,3.19,16.4 ,2.7,0.37,17,  4.0 ,4.6 ,313.4796238
6740246732014240000,297.3883,-36.4183,-1,3.67,16.7 ,3,0.24,20.7,  4.5 ,5.3 ,272.479564
6740355549305870000,297.5372,-36.0107,-1,4.46,16.6 ,3,0.17,25.3 ,20.5 ,7.9 ,224.2152466
986321582918019000,110.3713 ,51.8757,-1,5.68,16.4 ,3.1,0.27,26.5,  8.6 ,7.7 ,176.056338
986340068457206000,110.8349 ,52.1092,-1,3.98,16.2 ,2.7,0.14,24.6 ,19.6 ,8.2 ,251.2562814
5205867500856660000,152.403,-73.4775,-1,4.71,16.6 ,3.1,0.45,20.4,  7.0 ,5.5 ,212.3142251
2286672272366140000,355.8895 ,82.0944,  8,6.46,15.2 ,2.8,0.44,20.4,  4.2 ,4.7 ,154.7987616
2286752021318980000,338.0374 ,80.4958,-1,4.16,16.4 ,2.9,0.21,23.4 ,12.8 ,5.1 ,240.3846154
2226243658763810000,336.1287 ,69.4314,  1,3.03,17.4 ,3.6,1,  3.1,  1.2 ,0.7 ,330.0330033
5827578997848510000,234.8105,-61.1322,-1,5.5,16.7 ,3.3,0.7,19.4,  5.1 ,4.8 ,181.8181818
2468160066827680000,  18.2422,-13.2812,-1,4.3,16.7 ,3,0.43,     ,     ,     ,232.5581395
